source_id,name,address,category,lat,lng,distance,province,city,district,adcode,source_keyword,source
9974965171684436996,东北兄弟烧烤,四川省成都市郫都区天骄路龙湖时代天街9栋2楼29号(巫山纸包鱼楼上),美食:烧烤,30.753079,103.919454,604.92,四川省,成都市,郫都区,510117,烧烤,tencent_map
17240300313051673061,食野SAYYEAH创意轻食(龙湖时代天街店),四川省成都市郫都区合作路89号31栋附215,美食:日韩菜:日本料理,30.755439,103.920713,611.33,四川省,成都市,郫都区,510117,轻食,tencent_map
1701577707925916544,尹珍珠·韩式无限烤肉(时代天街店),四川省成都市郫都区合信路89号龙湖时代天街17栋1层,美食:烧烤,30.751937,103.919163,619.28,四川省,成都市,郫都区,510117,烧烤,tencent_map
1550444483491320117,蜀三顾冒菜,四川省成都市郫都区合信路与天骄路交叉口正东方向55米左右,美食:小吃快餐,30.751953,103.919135,621.96,四川省,成都市,郫都区,510117,冒菜,tencent_map
15336948314885577170,劲烤·地摊牛肉小串(龙湖时代天街店),"四川省成都市郫都区合作路89号9栋2层32号(怒火签签旁边二楼,链家楼上)",美食:烧烤,30.753181,103.919267,624.84,四川省,成都市,郫都区,510117,烧烤,tencent_map
12379522239259420035,蜜雪冰城(龙湖天街28栋店),四川省成都市郫都区西园街道合作路89号28栋1楼附138号,美食:冷饮店,30.752774,103.919136,628.79,四川省,成都市,郫都区,510117,奶茶,tencent_map
17956074721489136535,书亦烧仙草(郫县时代天街二店),四川省成都市郫都区合信路与天骄路交叉口东北方向101米左右,美食:冷饮店,30.752761,103.91912,630.09,四川省,成都市,郫都区,510117,奶茶,tencent_map
15569492556179810064,老方桌烂蹄花(龙湖时代天街店),"四川省成都市郫都区成都高新区合作路89号28栋1楼附135号,136号",美食:中餐厅:川菜,30.752728,103.91908,633.35,四川省,成都市,郫都区,510117,川菜,tencent_map
15911968588214073266,蜀座停车场烧烤(龙湖时代天街店),四川省成都市郫都区西园街道合信路89号28栋附141号,美食:烧烤,30.752715,103.919064,634.67,四川省,成都市,郫都区,510117,烧烤,tencent_map
4123067921512084620,蜜雪冰城(电子科大清水河校区商业街店),四川省成都市郫都区西源大道2006号电子科技大学清水河校区商业街B座104号,美食:冷饮店,30.756535,103.929748,645.45,四川省,成都市,郫都区,510117,奶茶,tencent_map
5193824009925012578,东北重工业烧烤(龙湖时代天街店),四川省成都市郫都区西园街道合作路89号28栋附228,美食:烧烤,30.752812,103.918843,657.13,四川省,成都市,郫都区,510117,烧烤,tencent_map
9506177005439812092,攀枝花羊肉米线(天骄路店),四川省成都市郫都区中房·学府海棠西北门西70米,美食:小吃快餐,30.757916,103.925399,665.87,四川省,成都市,郫都区,510117,米线,tencent_map
16563588461305953615,柴夫木炭烧烤,四川省成都市郫都区西园街道龙湖时代天街29栋1楼142号商铺,美食:烧烤,30.752551,103.918706,666.5,四川省,成都市,郫都区,510117,烧烤,tencent_map
11141282591078256734,锅锅鲜砂锅土豆粉·过桥米线(龙湖时代天街店),四川省成都市郫都区合作路89号25栋1层附158号,美食:小吃快餐,30.75487,103.919544,668.0,四川省,成都市,郫都区,510117,米线,tencent_map
11269680172638081189,冒菜西施·火锅冒菜(龙湖时代天街店),四川省成都市郫都区合宁路与天欣路交叉口东南方向102米左右,美食:小吃快餐,30.755411,103.919878,673.0,四川省,成都市,郫都区,510117,冒菜,tencent_map
